geoid	state_name	state_abbreviation	eci_county_empwt	eci_county_simple	eci_county_median	eci_within_sd	n_counties	total_employment	top_county_emp_share	eci_county_empwt_z	eci_native_eigen	native_diversity	rank_empwt	rank_native	rank_shift
01	Alabama	AL	1.04575722454876	-0.0818014274253423	1.18767140223429	0.845412042410952	67	2308070	0.179784841880879	-0.698728476766124	-1.42697783901747	335	36	51	15
02	Alaska	AK	0.887267290226266	0.232627668449661	0.764105738342523	0.554926801665807	30	388710	0.443999382573127	-0.971365164317599	0.864339233010167	226	43	11	-32
04	Arizona	AZ	1.9851110032002	0.396936509920614	2.35281781329421	0.698454844404128	15	3543920	0.716765615476647	0.917161540131592	0.767180969897624	316	9	13	4
05	Arkansas	AR	0.679979654405806	-0.461079453357596	0.884444645235238	0.901760103101768	75	1417688	0.204765787676837	-1.32794436691524	-1.25659910336965	347	45	47	2
06	California	CA	2.31044877128191	0.927992670594166	2.89401962182396	0.86133263365319	58	20087635	0.261540046899498	1.47681229526853	1.71010802334955	337	4	3	-1
08	Colorado	CO	1.74287186154968	0.137768963880236	1.9566193709329	0.812684349791934	64	3277169	0.189028091013921	0.50045824943222	0.878956922172544	353	19	10	-9
09	Connecticut	CT	2.31269177099587	1.91234121240848	2.47438444658722	0.421093168141896	9	1850315	0.308256702237187	1.48067073596263	0.620568952118774	301	3	15	12
10	Delaware	DE	1.77296864227041	1.34591327122661	2.30396899235284	0.718694426232438	3	517262	0.637783173710808	0.552231168871801	0.556052578447454	220	18	16	-2
11	District of Columbia	DC	2.45638648318632	2.45638648318632	2.45638648318632	0	1	811214	1	1.72785646745868	2.72191868188299	114	1	1	0
12	Florida	FL	1.88046108736684	0.614493630550634	2.20595170446138	0.63174804436193	67	10607116	0.141300236558175	0.737141234568896	1.08480098568909	371	13	7	-6
13	Georgia	GA	1.64076780001682	-0.00271847627146121	1.63212964563058	1.04371678263365	159	5292721	0.19426850574591	0.32481735942322	-0.400363685363337	373	22	30	8
15	Hawaii	HI	1.82964290062124	1.50002579766849	2.03015354884371	0.331429291720354	4	758575	0.720910918498501	0.649723051446287	1.68102109211239	220	15	4	-11
16	Idaho	ID	0.908729464682957	-0.0390055273167496	1.09278595954849	0.801166574380065	44	966800	0.332818576748035	-0.934445620016332	0.0932289077620377	344	41	25	-16
17	Illinois	IL	2.13613547743419	-0.0303336817706085	2.76633328975247	1.02860741217109	102	6404896	0.442098201126139	1.17695603478118	-0.305433939925642	418	7	28	21
18	Indiana	IN	1.34972280481814	0.228207480619391	1.59695072655452	0.861026726779879	92	3415351	0.199865255430555	-0.175842469597505	-1.40422972116795	389	32	50	18
19	Iowa	IA	0.74572598765214	-0.476448445855247	1.08206274413179	1.08032007592939	99	1762391	0.196382641536413	-1.21484656930708	-1.3527400583486	303	44	48	4
20	Kansas	KS	1.04348247791906	-0.860358407555698	1.60664500286174	1.17323803276867	105	1614576	0.254981493593365	-0.702641528965887	-1.11577746801749	281	37	44	7
21	Kentucky	KY	1.30668839173594	-0.111039193461709	1.46204618394506	1.10103584172176	120	2224530	0.238504313270668	-0.249870892182243	-1.37831858949801	357	33	49	16
22	Louisiana	LA	1.08755859538443	-0.0990029278055277	1.26217610816723	0.897477360552859	64	2156837	0.14102085600349	-0.626821151367404	-0.368545856815909	301	35	29	-6
23	Maine	ME	1.03150311330187	0.476279484972138	0.892422272542665	0.724400302148319	16	716837	0.302361624748723	-0.723248606015688	0.338357015178435	275	38	21	-17
24	Maryland	MD	1.88680355641886	1.12164201243956	2.17309521303072	0.549171395951589	24	3020984	0.17720848571194	0.748051641975088	1.28754833927334	257	12	6	-6
25	Massachusetts	MA	2.40549984056764	1.76141282097249	2.4003622396967	0.554923437413335	14	3973130	0.263732875591788	1.64032052554867	1.30699866404115	307	2	5	3
26	Michigan	MI	1.68521601596281	0.381632401928551	1.98279802624092	0.788603929734711	83	4682531	0.171125615612582	0.40127782623387	-0.762885802901545	373	21	39	18
27	Minnesota	MN	1.64016730756995	-0.15358608271858	1.63258394621253	1.2350552049161	87	3157557	0.316874723084967	0.323784383592201	-0.46590475263079	354	23	31	8
28	Mississippi	MS	0.459405616686429	-0.415225928849283	0.581928610497908	0.829567422222	82	1267577	0.0973668660759859	-1.70737903108325	-1.22400809926265	294	48	46	-2
29	Missouri	MO	1.41127052385403	-0.375838961838704	1.66754624382845	1.137969510915	115	3137198	0.219026022584485	-0.069967189151288	-0.95424817962122	372	31	41	10
30	Montana	MT	0.578822354208024	-0.475891797660486	0.772317547753485	0.728037374865176	56	590431	0.165745023550593	-1.50195662432116	0.225368451707625	316	47	24	-23
31	Nebraska	NE	0.924172937683234	-1.04145591114194	1.50900881038888	1.32078972016023	93	1127541	0.337405025626563	-0.907879533399634	-0.756930713182308	271	40	37	-3
32	Nevada	NV	1.89267949155241	0.080399514584328	2.06829920436038	0.552042785475448	17	1689587	0.741494223144473	0.758159510956977	0.932485855692831	250	11	9	-2
33	New Hampshire	NH	1.71122529120404	1.1360016200106	2.07802322234345	0.590326727193374	10	721254	0.308984074958337	0.446019359364638	0.292987001120963	334	20	22	2
34	New Jersey	NJ	2.2541873174421	1.8130371942511	2.52070866895927	0.551717583193371	21	4471457	0.109654414657236	1.3800305250111	0.977901956935014	347	5	8	3
35	New Mexico	NM	0.992671038666235	-0.124738516662493	0.9903907829864	0.971093822341332	33	968850	0.399404448573051	-0.790048104953383	0.386898265871678	243	39	19	-20
36	New York	NY	2.18925242751136	0.945939847466754	2.28539533190911	0.726184209558332	62	10426434	0.252343610480822	1.268328583983	1.9060743210899	287	6	2	-4
37	North Carolina	NC	1.55697470403907	0.41065232189728	1.73594917470003	0.940071787816874	100	5325441	0.161942644749984	0.180675258382453	-0.672896677737509	353	28	34	6
38	North Dakota	ND	0.374970134546304	-1.04637276114644	0.897036716892738	1.06804091173239	53	496852	0.284362345326174	-1.85262617413307	-0.679244448400807	229	50	35	-15
39	Ohio	OH	1.79604649864022	0.561318372608601	2.05274814817653	0.923891660494395	88	5888865	0.145624496401259	0.591930032672525	-1.21273595709856	396	16	45	29
40	Oklahoma	OK	0.894922312160558	-0.570995953423618	1.62803926010344	1.01035180385671	77	1926802	0.28882054305528	-0.958196884374643	-0.840697413851334	283	42	40	-2
41	Oregon	OR	1.52816989055698	0.286470924371128	1.66207676039141	0.891164970216316	36	2187031	0.255262499708509	0.131124799756389	0.371818942380021	343	29	20	-9
42	Pennsylvania	PA	1.83182221344321	0.727404769700414	1.89283144863009	0.800096998832107	67	6349607	0.127302681882517	0.653471937023533	-0.569000341041852	399	14	32	18
44	Rhode Island	RI	1.99435523365541	1.71851113838149	2.26110656407108	0.327191105354909	5	542563	0.595501351916736	0.933063599660137	0.675016789589625	272	8	14	6
45	South Carolina	SC	1.43844937321053	0.483086826130048	1.41503134844919	0.672544930492186	46	2475258	0.133571934723572	-0.0232137376359441	-0.614604140087388	380	30	33	3
46	South Dakota	SD	0.414369653570813	-0.899220103851133	0.56749579015897	0.989410046618696	66	531789	0.284962644958809	-1.78485054911384	-0.716270807548902	281	49	36	-13
47	Tennessee	TN	1.59861825641441	0.197600634519951	1.90290052117567	0.93072170224797	95	3578537	0.17342254669995	0.25231110217293	-0.980317120846174	383	25	42	17
48	Texas	TX	1.56403872259033	-0.32176857903212	1.77897240699385	0.924415665302313	254	15216470	0.18063341892042	0.19282688571986	-0.137653819680927	363	27	26	-1
49	Utah	UT	1.90752562999886	0.282512880144343	2.12408540004672	0.755341966394159	29	1913714	0.459186691428291	0.783698053996139	0.287218427499512	392	10	23	13
50	Vermont	VT	1.18628516553807	0.636893332099267	1.04183941995303	0.774434848535284	14	348977	0.335477696237861	-0.456990271096881	0.441891771455503	291	34	18	-16
51	Virginia	VA	1.61456942266423	0.441552301759766	1.69784836233463	0.8877709920922	133	4416978	0.163664840531241	0.279750530093219	0.497062654863039	258	24	17	-7
53	Washington	WA	1.78312906117912	0.341565966557365	1.56347819608511	0.993581937631421	39	4002151	0.399775020982467	0.569709269088367	0.803992363742018	290	17	12	-5
54	West Virginia	WV	0.615834658587412	-0.168856406991666	0.876950005914629	0.719505677542848	55	742325	0.141811201293234	-1.43828752061575	-0.75814593778504	252	46	38	-8
55	Wisconsin	WI	1.56488195357149	0.302467070574902	1.73065938430106	1.02311066550978	72	3154052	0.164264571414802	0.194277423904052	-1.09633202100379	388	26	43	17
56	Wyoming	WY	0.198909101401521	-0.316805016605769	0.14150511970114	0.666819890201857	23	320509	0.179249256651139	-2.15548892115026	-0.258934672678448	231	51	27	-24
