geo_aggregation_level	industry_code	industry_description	industry_ubiquity	industry_employment_share_nation	industry_complexity	industry_complexity_percentile
2	533110	Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)	15	0.000128742672773378	0.632207519569206	72.83
2	541110	Offices of Lawyers	12	0.00738099416947077	1.17617559101535	88.05
2	541191	Title Abstract and Settlement Offices	29	0.000372500744072187	-1.28434757130578	11.1
2	541199	All Other Legal Services	19	0.000263112782252664	0.641748388845406	73.15
2	541211	Offices of Certified Public Accountants	12	0.00318940855146888	-0.718858360263132	25.48
2	541213	Tax Preparation Services	15	0.00083431194897442	-1.23629845647351	11.63
2	541214	Payroll Services	13	0.0013412688489587	-0.0459462362822639	46.51
2	541219	Other Accounting Services	26	0.00232420593311494	-1.29037632510816	10.99
2	541310	Architectural Services	14	0.00128539029549056	1.44427891484128	93.97
2	541320	Landscape Architectural Services	17	0.000300393833375695	-1.02566674717115	17.86
2	541330	Engineering Services	20	0.00693311675025523	0.905000267957319	81.29
2	541340	Drafting Services	21	9.98654899216567e-05	-0.844296623921877	21.78
2	541350	Building Inspection Services	17	0.000211513604709709	-0.784386152228033	22.94
2	541360	Geophysical Surveying and Mapping Services	13	8.75321678852639e-05	-1.29316930145499	10.89
2	541370	Surveying and Mapping (except Geophysical) Services	22	0.000344977358430041	-1.1280843697532	15.12
2	541380	Testing Laboratories and Services	11	0.00102577099841007	-0.13231359356896	42.81
2	541410	Interior Design Services	14	0.000657824978848066	0.131477081673464	52.11
2	541420	Industrial Design Services	11	0.000150305908836076	0.602862445390416	71.46
2	541430	Graphic Design Services	18	0.000731452043190904	-0.242736341534723	39.32
2	541490	Other Specialized Design Services	13	0.000179418285270817	0.861267247164127	79.81
2	541511	Custom Computer Programming Services	14	0.00665175065138871	1.68272007589348	96.41
2	541512	Computer Systems Design Services	15	0.0069199000181753	1.34343425798766	91.97
2	541513	Computer Facilities Management Services	17	0.000492237223544571	0.692846595160891	74.84
2	541519	Other Computer Related Services	19	0.000853311001339318	0.574208642972112	70.51
2	541611	Administrative Management and General Management Consulting Services	14	0.00576213952826041	0.604861950204615	71.67
2	541612	Human Resources Consulting Services	16	0.000620916795600554	0.472422465622097	65.96
2	541613	Marketing Consulting Services	15	0.00229472068880468	1.11102631954756	86.68
2	541614	Process, Physical Distribution, and Logistics Consulting Services	14	0.00102655688916309	0.464107126988675	65.43
2	541618	Other Management Consulting Services	11	0.0008567528586518	0.0769447828755477	50.21
2	541620	Environmental Consulting Services	20	0.000693614558469022	-0.0164464584497349	47.57
2	541690	Other Scientific and Technical Consulting Services	15	0.00153392107559601	-1.230201769818	11.95
2	541713	Research and Development in Nanotechnology	15	0.000140221266910505	1.46500246816851	94.61
2	541714	Research and Development in Biotechnology (except Nanobiotechnology)	10	0.00166776917004957	1.71823278193556	96.62
2	541715	Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)	14	0.00319809350475404	0.955148506568516	82.45
2	541720	Research and Development in the Social Sciences and Humanities	6	0.000404309242068372	0.673071808288627	74.31
2	541810	Advertising Agencies	11	0.00138276043886067	1.66070310445891	96.09
2	541820	Public Relations Agencies	8	0.00046827042379199	1.02407181963485	84.04
2	541830	Media Buying Agencies	5	0.000112365168394819	1.44472135122638	94.08
2	541840	Media Representatives	11	0.000119931518053425	0.808289490838691	78.65
2	541850	Indoor and Outdoor Display Advertising	25	0.000201142141341431	0.53834720012677	68.71
2	541860	Direct Mail Advertising	16	0.000209322288887429	1.63565011863901	95.88
2	541870	Advertising Material Distribution Services	11	0.000109760829695042	0.745922625434131	76.64
2	541890	Other Services Related to Advertising	19	0.000612432617325286	0.381872852109033	61.95
2	541910	Marketing Research and Public Opinion Polling	13	0.000436186577210806	1.1937344244408	88.9
2	541921	Photography Studios, Portrait	21	0.000333487291435207	-0.706934666552992	25.9
2	541922	Commercial Photography	16	0.000114149197768456	0.0743673370827686	50.11
2	541930	Translation and Interpretation Services	17	0.000268137893928887	0.696603334336506	75.37
2	541940	Veterinary Services	27	0.00279451278915015	-1.33224816777088	9.73
2	541990	All Other Professional, Scientific, and Technical Services	17	0.00201560327004897	-0.43632941052577	33.51
2	551111	Offices of Bank Holding Companies	18	4.88915831238026e-05	-0.125144794950441	43.23
2	551112	Offices of Other Holding Companies	19	0.000510192245858017	-0.133494704435798	42.71
2	551114	Corporate, Subsidiary, and Regional Managing Offices	19	0.0144347537549573	0.710685466672473	75.69
2	561110	Office Administrative Services	21	0.0037421134715649	-0.272706307108095	38.16
2	561210	Facilities Support Services	21	0.00103273502303899	-0.440953297581825	32.88
2	561311	Employment Placement Agencies	15	0.00146090780914057	0.182478318286555	54.02
2	561312	Executive Search Services	14	0.000250813878789396	0.0541200946575155	49.58
2	561320	Temporary Help Services	15	0.0150462914893814	0.349394778429022	60.36
2	561330	Professional Employer Organizations	18	0.00244535931051429	-0.365094983397196	35.1
2	561410	Document Preparation Services	14	0.000371841054753961	-1.16720674577737	13.95
2	561421	Telephone Answering Services	18	0.000217754839303009	0.206438167249153	54.76
2	561422	Telemarketing Bureaus and Other Contact Centers	23	0.00188116432342344	0.315423218308403	59.41
2	561431	Private Mail Centers	17	0.000221351580194553	0.30737335420287	58.99
2	561439	Other Business Service Centers (including Copy Shops)	13	0.000254513875400314	0.823477222298767	79.39
2	561440	Collection Agencies	22	0.00052026541492588	0.573622157908401	70.4
2	561450	Credit Bureaus	10	0.000129075385646918	0.230612638909551	55.71
2	561491	Repossession Services	18	5.69799478081346e-05	0.21808177272395	54.97
2	561492	Court Reporting and Stenotype Services	15	0.000130773368587742	-1.18472426171218	13.42
2	561499	All Other Business Support Services	16	0.000594804571456526	0.260565585678787	57.19
2	561510	Travel Agencies	17	0.000588941941167599	0.290573976520388	58.56
2	561520	Tour Operators	20	0.00016176729368664	0.448793945956021	64.38
2	561591	Convention and Visitors Bureaus	28	6.08749830000931e-05	0.016841367319527	48.63
2	561599	All Other Travel Arrangement and Reservation Services	13	0.000463589497847015	1.07724758623688	86.05
2	561611	Investigation and Personal Background Check Services	11	0.000276329514332594	0.2864778756547	58.46
2	561612	Security Guards and Patrol Services	12	0.00472917504806726	1.15724001426122	87.74
2	561613	Armored Car Services	19	0.000151912108915234	2.21670730458278	99.37
2	561621	Security Systems Services (except Locksmiths)	17	0.000862850682523747	0.75786826282595	77.06
2	561622	Locksmiths	19	0.000137857858222601	0.219707716759196	55.07
2	561710	Exterminating and Pest Control Services	16	0.000907439944006947	-0.588466822764266	28.22
2	561720	Janitorial Services	20	0.00822712889831356	-0.398899187653797	34.14
2	561730	Landscaping Services	23	0.00737144875185749	-1.2020043505739	12.58
2	561740	Carpet and Upholstery Cleaning Services	23	0.000268826265391384	-0.348581131388102	35.62
2	561790	Other Services to Buildings and Dwellings	12	0.000931521472336611	-0.716026131866302	25.58
2	561910	Packaging and Labeling Services	14	0.000372919503378539	0.555748556321536	69.56
2	561920	Convention and Trade Show Organizers	20	0.000343721080510985	1.36475887900535	92.18
2	561990	All Other Support Services	19	0.00125523388900437	-0.419431256194784	33.72
2	562111	Solid Waste Collection	28	0.00112619292193058	-1.09707974432888	15.86
2	562112	Hazardous Waste Collection	12	7.7849075979482e-05	0.584968547096951	70.93
2	562119	Other Waste Collection	22	0.000110414782584413	-0.342875593095807	35.94
2	562211	Hazardous Waste Treatment and Disposal	13	0.000254037751805421	-0.065614768762588	45.98
2	562212	Solid Waste Landfill	19	0.000231212501394813	-0.699074493015198	26
2	562213	Solid Waste Combustors and Incinerators	12	2.7213618484022e-05	1.77085140337692	97.25
2	562219	Other Nonhazardous Waste Treatment and Disposal	18	0.000123826553245383	-0.0766488124699082	45.56
2	562910	Remediation Services	21	0.00059524054004944	-0.0219042066112164	47.25
2	562920	Materials Recovery Facilities	16	0.000154476292613033	-0.0565194014045219	46.3
2	562991	Septic Tank and Related Services	26	0.000224437778918078	-1.0547485135949	17.02
2	562998	All Other Miscellaneous Waste Management Services	16	0.000147695833707444	0.011209004678761	48.41
2	611110	Elementary and Secondary Schools	18	0.00751020722941018	-0.731879339547441	24.95
2	611210	Junior Colleges	19	0.000184816264822559	-1.58191051451724	6.13
2	611310	Colleges, Universities, and Professional Schools	16	0.0110694261398187	-0.241512479762626	39.43
2	611410	Business and Secretarial Schools	17	2.08576553136391e-05	1.46257237547363	94.4
2	611420	Computer Training	13	0.00011624873072907	1.18568873869513	88.48
2	611430	Professional and Management Development Training	17	0.000332448997812608	0.468545650677193	65.54
2	611511	Cosmetology and Barber Schools	23	0.000110277108291914	1.08839694433403	86.36
2	611512	Flight Training	18	0.000161107604368415	0.869153238537699	80.02
2	611513	Apprenticeship Training	18	9.6549834043966e-05	1.1738977612098	87.95
2	611519	Other Technical and Trade Schools	22	0.000374961672050611	0.313980454497978	59.2
2	611610	Fine Arts Schools	18	0.00100360543731769	0.176834895834543	53.81
2	611620	Sports and Recreation Instruction	19	0.00141939900995204	0.536358528389464	68.5
2	611630	Language Schools	15	0.000121818803146436	2.03151425532141	98.52
2	611691	Exam Preparation and Tutoring	13	0.000768440536442374	1.03999629267999	84.67
2	611692	Automobile Driving Schools	19	0.000151218001023884	0.453002449384908	64.59
2	611699	All Other Miscellaneous Schools and Instruction	22	0.00063269942046695	0.267386501440545	57.72
2	611710	Educational Support Services	21	0.00141557281190633	0.183148742484294	54.12
2	621111	Offices of Physicians (except Mental Health Specialists)	23	0.0168147177765345	0.0381882170083048	49.26
2	621112	Offices of Physicians, Mental Health Specialists	21	0.000565147234280642	0.201966273091186	54.55
2	621210	Offices of Dentists	21	0.00629924136187318	-0.222466311199532	39.96
2	621310	Offices of Chiropractors	26	0.000963697101779461	-1.12143490817223	15.43
2	621320	Offices of Optometrists	30	0.000938296194813346	-1.29417534847674	10.68
2	621330	Offices of Mental Health Practitioners (except Physicians)	21	0.00173614166556202	0.370958699768361	60.99
2	621340	Offices of Physical, Occupational and Speech Therapists, and Audiologists	23	0.00295802395720844	-0.585447588569116	28.33
2	621391	Offices of Podiatrists	15	0.000193994550989177	0.486577370420806	66.38
2	621399	Offices of All Other Miscellaneous Health Practitioners	22	0.00120716261520671	-0.452560408261136	32.45
2	621410	Family Planning Centers	16	0.00021004507892305	0.204637709265888	54.65
2	621420	Outpatient Mental Health and Substance Abuse Centers	26	0.00194949666393391	-0.783311470367661	23.04
2	621491	HMO Medical Centers	8	0.00129265835084875	1.49804977491733	95.14
2	621492	Kidney Dialysis Centers	22	0.000813058480069845	-0.737565920079378	24.74
2	621493	Freestanding Ambulatory Surgical and Emergency Centers	22	0.00110952285968046	0.241282872769188	56.55
2	621498	All Other Outpatient Care Centers	22	0.0016112194544055	-0.662259255159801	26.96
2	621511	Medical Laboratories	16	0.00135157147518073	0.422715291434793	63
2	621512	Diagnostic Imaging Centers	13	0.000518165881965267	0.55860469229071	69.66
2	621610	Home Health Care Services	9	0.0104720172296624	-0.851855706060801	21.56
2	621910	Ambulance Services	25	0.00106706181330214	-1.18527416342562	13.32
2	621991	Blood and Organ Banks	27	0.000526363238797827	1.38495619315803	92.92
2	621999	All Other Miscellaneous Ambulatory Health Care Services	21	0.000715189267389428	-0.961245069206299	18.82
2	622110	General Medical and Surgical Hospitals	31	0.0293640220957143	-0.782870256358233	23.15
2	622210	Psychiatric and Substance Abuse Hospitals	26	0.00076710394851936	0.823151544248367	79.28
2	622310	Specialty (except Psychiatric and Substance Abuse) Hospitals	17	0.00158822211112927	1.07537679596094	85.94
2	623110	Nursing Care Facilities (Skilled Nursing Facilities)	24	0.00875019369052026	-1.7473608447113	4.76
2	623210	Residential Intellectual and Developmental Disability Facilities	19	0.00237779565147028	-0.809807951456532	22.41
2	623220	Residential Mental Health and Substance Abuse Facilities	21	0.00153082340401478	-0.278090108939407	37.84
2	623311	Continuing Care Retirement Communities	21	0.00282068237758272	-0.345840814987961	35.73
2	623312	Assisted Living Facilities for the Elderly	20	0.00292028972820594	-0.725692323087946	25.37
2	623990	Other Residential Care Facilities	23	0.000964133070372375	-0.410616104103825	33.93
2	624110	Child and Youth Services	21	0.00148372158669347	-0.209888390859433	40.49
2	624120	Services for the Elderly and Persons with Disabilities	14	0.0146439039509791	-1.22366019095616	12.05
2	624190	Other Individual and Family Services	25	0.00339551844019799	-0.659763766509824	27.17
2	624210	Community Food Services	26	0.000299785771917157	-0.555085523004863	28.86
2	624221	Temporary Shelters	19	0.000555188793789861	0.176508716336007	53.7
2	624229	Other Community Housing Services	13	0.000291003299341474	0.376176243159762	61.52
2	624230	Emergency and Other Relief Services	22	0.000219607705822895	0.812634210554606	78.96
2	624310	Vocational Rehabilitation Services	29	0.00168342962082136	-0.762966776068941	23.57
2	624410	Child Care Services	26	0.00717658226368248	-1.50930471669448	7.29
2	711110	Theater Companies and Dinner Theaters	20	0.000486781879704288	0.448642622037383	64.27
2	711120	Dance Companies	16	0.00010648532881933	1.06528117101349	85.52
2	711130	Musical Groups and Artists	8	0.000362221063565575	0.0239175988899243	48.84
2	711190	Other Performing Arts Companies	13	6.70244347317271e-05	0.752079933286166	76.85
2	711211	Sports Teams and Clubs	18	0.000702213465321372	2.13612399115471	98.84
2	711212	Racetracks	15	0.000151281101741279	-0.0901198877478322	44.5
2	711219	Other Spectator Sports	13	0.000189646337917742	-0.747634228013134	24.31
2	711310	Promoters of Performing Arts, Sports, and Similar Events with Facilities	21	0.000838602797757313	0.678236219550435	74.52
2	711320	Promoters of Performing Arts, Sports, and Similar Events without Facilities	18	0.000295598178853637	-0.0428906260326031	46.62
2	711410	Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures	4	0.000212850192632723	-0.373166814319936	34.88
2	711510	Independent Artists, Writers, and Performers	17	0.00210092117639654	-0.533499824102446	29.6
2	712110	Museums	21	0.000609271845026657	-0.326258737760764	36.36
2	712120	Historical Sites	18	9.02512351621244e-05	0.237466373376808	56.34
2	712130	Zoos and Botanical Gardens	18	0.000283901600420053	0.954902435619616	82.35
2	712190	Nature Parks and Other Similar Institutions	23	8.50310849048605e-05	0.0880421245694427	50.42
2	713110	Amusement and Theme Parks	5	0.00121516493345823	0.184447987222017	54.23
2	713120	Amusement Arcades	19	0.00021516197346094	0.250462622090714	56.98
2	713210	Casinos (except Casino Hotels)	18	0.000378030661487574	0.314227666921557	59.3
2	713290	Other Gambling Industries	18	0.000413458846090719	-1.13975948967929	14.9
2	713910	Golf Courses and Country Clubs	23	0.00257585733051704	-1.15904756670817	14.59
2	713920	Skiing Facilities	18	0.00025410658895167	-0.132209391243213	42.92
2	713930	Marinas	16	0.000280505634538405	-0.528992925318614	30.02
2	713940	Fitness and Recreational Sports Centers	23	0.00414008969617831	0.498228999985468	66.91
2	713950	Bowling Centers	24	0.000406162108588258	-0.459203651161804	32.03
2	713990	All Other Amusement and Recreation Industries	24	0.00167055133804383	-0.461521091289618	31.92
2	721110	Hotels (except Casino Hotels) and Motels	20	0.00900744957891285	-1.12247714923987	15.33
2	721120	Casino Hotels	9	0.00147204221754645	0.234576010790401	56.13
2	721191	Bed-and-Breakfast Inns	26	9.07503044724343e-05	-0.727913124253688	25.26
2	721199	All Other Traveler Accommodation	26	0.000115594777839698	-0.964660929265456	18.6
2	721211	RV (Recreational Vehicle) Parks and Campgrounds	23	0.00022661762188265	-1.4939637291583	7.82
2	721214	Recreational and Vacation Camps (except Campgrounds)	22	0.000235199319448437	-1.40446433138127	9.09
2	721310	Rooming and Boarding Houses, Dormitories, and Workers' Camps	23	8.73371293042233e-05	-1.0611041280109	16.6
2	722310	Food Service Contractors	24	0.00373014728097517	-0.44710759260092	32.66
2	722320	Caterers	16	0.00134210636757141	-0.0332834039364023	46.93
2	722330	Mobile Food Services	23	0.000505281862758877	-1.1617415617727	14.06
2	722410	Drinking Places (Alcoholic Beverages)	26	0.00246819029735376	-1.23498768877893	11.73
2	722511	Full-Service Restaurants	19	0.0310449678428419	-0.118212154184621	43.55
2	722513	Limited-Service Restaurants	24	0.0268422420800052	-1.05629794619252	16.91
2	722514	Cafeterias, Grill Buffets, and Buffets	20	0.000480070257944948	-0.870377170365113	20.51
2	722515	Snack and Nonalcoholic Beverage Bars	22	0.00552035478848743	-0.20156155175533	41.12
2	811111	General Automotive Repair	27	0.00299865508278229	-1.76866889791348	4.44
2	811114	Specialized Automotive Repair	27	0.000353645102428641	-1.15977907525858	14.38
2	811121	Automotive Body, Paint, and Interior Repair and Maintenance	25	0.00171384416660599	-1.42142115042576	8.88
2	811122	Automotive Glass Replacement Shops	29	0.000272807347016154	-0.859191682083074	20.93
2	811191	Automotive Oil Change and Lubrication Shops	22	0.000521148824969417	-1.03343675474646	17.55
2	811192	Car Washes	19	0.00130446965785942	-0.730727866942429	25.05
2	811198	All Other Automotive Repair and Maintenance	16	0.000260732164278197	-1.18660700947173	13.11
2	811210	Electronic and Precision Equipment Repair and Maintenance	17	0.000693453938461106	-0.171589754220068	42.07
2	811310	Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance	26	0.00166806172792113	-1.95740160817246	2.85
2	811411	Home and Garden Equipment Repair and Maintenance	24	5.80125050018791e-05	-1.26006738403086	11.42
2	811412	Appliance Repair and Maintenance	24	0.000200958575618099	-1.19217574366483	12.9
2	811420	Reupholstery and Furniture Repair	18	0.000119541440891344	-0.940328380379601	18.92
2	811430	Footwear and Leather Goods Repair	13	1.75419994359484e-05	-0.320044653079665	36.47
2	811490	Other Personal and Household Goods Repair and Maintenance	23	0.000491806991380511	-1.44207702640443	8.56
2	812111	Barber Shops	22	0.000563150957039403	-0.758276184635106	23.89
2	812112	Beauty Salons	22	0.00452098857209295	-1.15520733873197	14.69
2	812113	Nail Salons	14	0.00154511284829043	0.543648548497142	69.03
2	812191	Diet and Weight Reducing Centers	24	0.000117155086488023	-0.338300458526288	36.05
2	812199	Other Personal Care Services	17	0.00154664447479449	0.130653164241963	52.01
2	812210	Funeral Homes and Funeral Services	31	0.000651055992800185	-1.64365624891382	5.5
2	812220	Cemeteries and Crematories	16	0.000195027108182922	-0.527751153441385	30.13
2	812310	Coin-Operated Laundries and Drycleaners	17	0.000259498832074558	-0.758800363786582	23.78
2	812320	Drycleaning and Laundry Services (except Coin-Operated)	19	0.000577629703467242	-0.207117555699878	40.91
2	812331	Linen Supply	26	0.000387748171966481	1.03589355324508	84.57
2	812332	Industrial Launderers	25	0.000394752351597381	1.01195216653025	83.72
2	812910	Pet Care (except Veterinary) Services	27	0.00131176065893303	-0.247233310603107	38.9
2	812921	Photofinishing Laboratories (except One-Hour)	16	3.44644645556501e-05	1.29759863324267	90.91
2	812922	One-Hour Photofinishing	22	3.84340733227124e-06	2.07553872098056	98.63
2	812990	All Other Personal Services	17	0.00130220376846204	-0.99830644016482	18.29
2	813110	Religious Organizations	28	0.0089813029361957	-1.57428717101886	6.24
2	813211	Grantmaking Foundations	16	0.000461937406337024	0.426132871187415	63.21
2	813212	Voluntary Health Organizations	15	0.000233151414347511	1.49716652714563	95.03
2	813219	Other Grantmaking and Giving Services	21	0.000264977121630258	0.67634746613214	74.42
2	813311	Human Rights Organizations	19	0.000338288682386119	0.605951828959017	71.88
2	813312	Environment, Conservation and Wildlife Organizations	24	0.000472641582578842	-0.457757317790103	32.35
2	813319	Other Social Advocacy Organizations	21	0.000750410940553824	-0.826941227325125	22.3
2	813410	Civic and Social Organizations	25	0.00209221901382482	-0.708216814466662	25.79
2	813910	Business Associations	15	0.000687430688164263	-1.54314493563797	6.55
2	813920	Professional Organizations	10	0.000519152547728178	1.28118464442745	90.7
2	813930	Labor Unions and Similar Labor Organizations	24	0.000615908893210893	0.00351127348445349	48.2
2	813940	Political Organizations	17	8.93563522608792e-05	0.978171730668746	82.98
2	813990	Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)	13	0.000628070122381662	-0.313588474895937	36.68
2	814110	Private Households	12	0.00875143849558161	-1.22291421330109	12.26
2	901149	US Postal Service	29	0.00347454922052143	-2.07048238420858	2.22
2	901199	Federal Government, Civilian, Excluding Postal Service	21	0.0144898521541013	-0.803967604731125	22.62
2	901200	Federal Government, Military	26	0.0106265853051371	-1.83722197397237	3.81
2	902611	Elementary and Secondary Schools (State Government)	8	0.000365508037298995	0.0302456425246374	48.94
2	902612	Colleges, Universities, and Professional Schools (State Government)	32	0.0154090001493996	-0.111887456493882	43.87
2	902619	All Other Schools and Educational Support Services (State Government)	14	8.73486021619315e-05	-0.935799604095025	19.13
2	902622	Hospitals (State Government)	19	0.00255276246795029	0.441685975623077	63.85
2	902999	State Government, Excluding Education and Hospitals	33	0.0133722007747345	-1.72034124528676	5.07
2	903611	Elementary and Secondary Schools (Local Government)	29	0.0424926885198754	-1.88373237871495	3.49
2	903612	Colleges, Universities, and Professional Schools (Local Government)	17	0.0036546616136836	-0.0849711020508221	44.93
2	903619	All Other Schools and Educational Support Services (Local Government)	11	0.000350099989396785	-0.626873315979566	27.7
2	903622	Hospitals (Local Government)	19	0.00400531803667923	-2.12542281186672	2.01
2	903999	Local Government, Excluding Education and Hospitals	24	0.0342223413665748	-2.01779933072114	2.43
2	999999	Unclassified Industry	12	0.00133794745665216	-0.695817354797022	26.32
